model,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,test_spearman_mean,test_spearman_std
CNN-only,0.381217360496521,0.003724038475471305,0.5443493277832216,0.0071040571298040854,0.13345204591751098,0.02258420097106644,0.4629262769462704,0.02369510568228847
CNN + Text,0.38308788537979127,0.010006936277654475,0.5323691320300329,0.0069175883578678765,0.17117578983306886,0.021495892336614388,0.4663646248816593,0.010161205086257659
CNN + Text + Face,0.2283512145280838,0.0061993632893770105,0.36910718193140285,0.004277839545225348,0.6015904903411865,0.009246165298107711,0.8023979375282473,0.004493628834201747
CNN + Face,0.22723172307014466,0.0020907738301795343,0.37346615225741003,0.002720684062329754,0.5921513795852661,0.00593314503637733,0.8051315493803288,0.0025568095989718376
