split,n_test,mae,rmse,r2,kendall,spearman
random,891,0.22100676596164703,0.3623136740338603,0.6161624193191528,0.6126421766511024,0.8160915527723747
channel,973,0.10005293041467667,0.18279887662157376,0.8925759196281433,0.7634333471857089,0.9158878090870411
time,513,0.052708107978105545,0.09550196565388892,0.4560691714286804,0.2362739685680519,0.34128148935902664
