rank,feature,mean_abs_shap
1,num_faces,0.33966445769101483
2,emotion_neutral,0.20252029958792264
3,ocr_char_count,0.19282716660839014
4,emotion_sad,0.18999855082220166
5,emotion_happy,0.184735958580859
6,emotion_fear,0.13931795033349773
7,emotion_angry,0.11672526666734484
8,ocr_word_count,0.07009551891150637
9,cnn_embedding_1967,0.05980752039799882
10,cnn_embedding_1536,0.05409139501850859
11,cnn_embedding_1187,0.042972637819178774
12,cnn_embedding_1531,0.04207624016152991
13,cnn_embedding_004,0.04107173690773038
14,cnn_embedding_995,0.0389139444027478
15,cnn_embedding_1073,0.037062900401161156
16,cnn_embedding_1154,0.03131797412576702
17,cnn_embedding_1575,0.03072721696992744
18,cnn_embedding_578,0.02984172404901244
19,cnn_embedding_1974,0.02882688896161767
20,cnn_embedding_762,0.028813072862698165
21,cnn_embedding_800,0.027929087206427994
22,cnn_embedding_109,0.027273454981980194
23,cnn_embedding_1454,0.02658147332235785
24,largest_face_area_ratio,0.02600943459500229
25,cnn_embedding_1976,0.025593633777552326
26,cnn_embedding_491,0.024970017046996418
27,cnn_embedding_184,0.024861806789442654
28,cnn_embedding_749,0.023660527199760396
29,cnn_embedding_1509,0.023345784704967797
30,cnn_embedding_1049,0.022483777654741743
31,cnn_embedding_1591,0.02234896029679021
32,cnn_embedding_985,0.022340149457278358
33,cnn_embedding_1208,0.02212191813150639
34,cnn_embedding_107,0.021911467932308425
35,cnn_embedding_769,0.021699841041197487
36,cnn_embedding_2016,0.021453671879729085
37,cnn_embedding_1728,0.021407339587830164
38,emotion_surprise,0.02119343940657927
39,cnn_embedding_665,0.02098782116032538
40,cnn_embedding_840,0.020953774124534162
41,cnn_embedding_968,0.02073456264890865
42,cnn_embedding_102,0.02054190868123982
43,cnn_embedding_462,0.02052357343863349
44,cnn_embedding_1479,0.020318495855309492
45,cnn_embedding_1840,0.020130852257699415
46,cnn_embedding_897,0.01952340564451731
47,cnn_embedding_885,0.01942888744994207
48,cnn_embedding_168,0.01941441635382546
49,cnn_embedding_1026,0.01925098656232649
50,cnn_embedding_1792,0.019106796862430997
51,cnn_embedding_636,0.019050918358777834
52,cnn_embedding_851,0.018994988820544734
53,cnn_embedding_821,0.018644853335517197
54,cnn_embedding_965,0.018417621090593705
55,cnn_embedding_1610,0.018269639683646234
56,cnn_embedding_1232,0.01817502104179809
57,cnn_embedding_1146,0.018010821939044776
58,cnn_embedding_1242,0.017619575954336143
59,cnn_embedding_348,0.0174219650207597
60,cnn_embedding_1139,0.017390022288881823
61,cnn_embedding_1594,0.01727021672146236
62,cnn_embedding_1172,0.0172003366273664
63,cnn_embedding_436,0.016932540191453425
64,cnn_embedding_620,0.016862683104913855
65,cnn_embedding_1713,0.016703879483115712
66,cnn_embedding_1102,0.016672217029648096
67,cnn_embedding_656,0.016503783631373992
68,cnn_embedding_346,0.01626795703699031
69,cnn_embedding_1558,0.01612929997659194
70,cnn_embedding_1328,0.016116091384782295
71,cnn_embedding_103,0.015904288359516273
72,cnn_embedding_810,0.015749499981041026
73,cnn_embedding_960,0.015457729977572044
74,cnn_embedding_1015,0.01528115233360836
75,cnn_embedding_1559,0.015247623520068032
76,cnn_embedding_1202,0.015178880210160627
77,cnn_embedding_1319,0.015154870312363755
78,cnn_embedding_1759,0.015068910150472448
79,cnn_embedding_812,0.015051111102943082
80,cnn_embedding_1369,0.015002356275030593
81,cnn_embedding_911,0.014873040092469125
82,cnn_embedding_1195,0.014794729315281075
83,cnn_embedding_1574,0.014758909348270777
84,cnn_embedding_1978,0.014758067975621713
85,cnn_embedding_541,0.014750883170033546
86,ocr_has_numeric,0.014749357768778282
87,cnn_embedding_650,0.0146550386961934
