rank,feature,mean_abs_shap
1,emotion_sad,0.057803783915005624
2,emotion_neutral,0.05329645889287349
3,emotion_happy,0.043077683832962066
4,emotion_fear,0.038345193079294404
5,num_faces,0.03541871482957504
6,emotion_angry,0.031209718817990506
7,ocr_char_count,0.028590485701556645
8,cnn_embedding_800,0.0224203671102714
9,cnn_embedding_1073,0.016015482861007513
10,cnn_embedding_1974,0.01508014559689741
11,cnn_embedding_656,0.014572397477749632
12,cnn_embedding_911,0.013727426152968292
13,cnn_embedding_1408,0.01340406645317671
14,cnn_embedding_1187,0.013129863905987804
15,cnn_embedding_184,0.012412650684041182
16,cnn_embedding_578,0.011809640068861427
17,cnn_embedding_1591,0.011575911612737855
18,cnn_embedding_1536,0.011063130305984714
19,cnn_embedding_1218,0.010701743576532863
20,cnn_embedding_186,0.01043081590228212
21,cnn_embedding_103,0.010426524620072541
22,cnn_embedding_985,0.01018568262207964
23,cnn_embedding_109,0.010158563784102626
24,ocr_capital_letter_pct,0.010083412584833695
25,cnn_embedding_851,0.009955182743993873
26,cnn_embedding_665,0.009902972665406296
27,cnn_embedding_1575,0.009438198170471424
28,cnn_embedding_1660,0.009326297786067528
29,cnn_embedding_1978,0.009304692671605608
30,cnn_embedding_699,0.009253440301591809
31,cnn_embedding_1026,0.008433617324470788
32,cnn_embedding_258,0.008251576373538683
33,cnn_embedding_441,0.008237236928572145
34,cnn_embedding_1509,0.008175549808015603
35,cnn_embedding_1208,0.008156175383142283
36,cnn_embedding_1531,0.0081383320482189
37,cnn_embedding_1856,0.008097495603916371
38,cnn_embedding_557,0.008088122033285572
39,cnn_embedding_680,0.008062161857480987
40,cnn_embedding_1452,0.008056316541782849
41,cnn_embedding_1172,0.008031235995076713
42,cnn_embedding_349,0.008027736409530917
43,cnn_embedding_1075,0.008005085257337896
44,cnn_embedding_1713,0.007981726233481368
45,cnn_embedding_1443,0.007894267711151315
46,cnn_embedding_539,0.007885771695413268
47,cnn_embedding_840,0.007773787509876229
48,cnn_embedding_348,0.007709318811627952
49,cnn_embedding_1558,0.0076346731180478855
50,cnn_embedding_912,0.007612429862319914
51,largest_face_area_ratio,0.007573471579917168
52,cnn_embedding_425,0.0075610503907626025
53,cnn_embedding_1121,0.007557190812747194
54,cnn_embedding_156,0.007450077802985788
55,cnn_embedding_995,0.007438011235592512
56,cnn_embedding_1545,0.0073945140036926205
57,cnn_embedding_1770,0.0073672393618196
58,cnn_embedding_1306,0.0073231151255299665
59,cnn_embedding_115,0.007192487587559526
60,cnn_embedding_1195,0.007074647946865298
61,cnn_embedding_509,0.007065085843823482
62,cnn_embedding_1158,0.007018998568042889
63,cnn_embedding_1021,0.006999485465684074
64,cnn_embedding_283,0.006939891969466316
65,cnn_embedding_560,0.006921333466024748
66,cnn_embedding_049,0.006893236320763663
67,cnn_embedding_096,0.006874977111465341
68,cnn_embedding_1090,0.006857894577599666
69,cnn_embedding_1728,0.006848370514788371
70,cnn_embedding_1357,0.00679782450758637
71,cnn_embedding_1323,0.006779028595815362
72,cnn_embedding_493,0.006762846134648726
73,emotion_surprise,0.006734307496117253
74,cnn_embedding_439,0.00663737680633858
75,cnn_embedding_1479,0.0066243634330760415
76,cnn_embedding_101,0.006585592665231843
77,cnn_embedding_917,0.006577372338590237
78,cnn_embedding_163,0.006525372266793283
79,cnn_embedding_196,0.006487891800695422
80,cnn_embedding_1967,0.006464178018532607
81,cnn_embedding_1759,0.0064493974024344425
82,cnn_embedding_762,0.006424788588446972
83,cnn_embedding_2016,0.006421885315688769
84,cnn_embedding_203,0.006415189672694055
85,cnn_embedding_1734,0.006398729298894068
86,cnn_embedding_255,0.006380227875617095
87,cnn_embedding_1011,0.006379779657891049
88,cnn_embedding_1505,0.006379187096968053
89,cnn_embedding_1921,0.006367973707568808
90,cnn_embedding_314,0.006353750605114783
91,cnn_embedding_1139,0.006329757753121612
92,cnn_embedding_1457,0.006315591676639087
93,cnn_embedding_1666,0.006307785759304352
94,cnn_embedding_1351,0.006295840428720112
95,cnn_embedding_903,0.006257544261288217
96,cnn_embedding_786,0.006257248798803516
97,cnn_embedding_261,0.006179380568312354
98,cnn_embedding_1386,0.006171453701483642
99,cnn_embedding_636,0.006163264130918833
100,cnn_embedding_929,0.006154887497643813
101,cnn_embedding_1130,0.006113112110824659
102,cnn_embedding_553,0.006090597568942258
103,cnn_embedding_954,0.006081339896212512
104,cnn_embedding_674,0.006079541080566742
105,cnn_embedding_798,0.006066777482288899
106,cnn_embedding_141,0.0060568697700909
107,cnn_embedding_617,0.00603707883504967
108,cnn_embedding_286,0.006033118628693046
109,cnn_embedding_652,0.006027324313023996
110,cnn_embedding_489,0.006014353386234461
111,cnn_embedding_1058,0.00598562031768779
112,cnn_embedding_658,0.005937027329423472
113,cnn_embedding_1585,0.005931847260342238
114,cnn_embedding_1256,0.005930936155479571
115,cnn_embedding_1083,0.00592682665454447
116,cnn_embedding_1271,0.005925821607476678
117,cnn_embedding_275,0.005912333635308187
118,cnn_embedding_1976,0.005902271531169845
119,cnn_embedding_272,0.005832185803853918
120,cnn_embedding_896,0.005817433688704909
121,cnn_embedding_253,0.005809834377735967
