Id,num_faces,largest_face_area_ratio,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral,emotion_unknown
1VZkiQUzITU,0,0.0,0,0,1,0,0,0,0,0
ANQcBnQSQOU,1,0.15774544135051857,1,0,0,0,0,0,0,0
K_NRBkJtNAI,0,0.0,0,0,0,0,1,0,0,0
IiVDtNjORbY,1,0.04730175453294578,0,0,0,1,0,0,0,0
Xh6rc-t47rQ,0,0.0,1,0,0,0,0,0,0,0
19JYOVPmwDM,2,0.007519335238042307,1,0,0,0,0,0,0,0
f38sotYHqtA,1,0.03169785384663404,0,0,0,0,0,0,1,0
R3unPcJDbCc,0,0.0,0,0,1,0,0,0,0,0
K9_b9X2EA3E,0,0.0,0,0,0,0,0,0,1,0
ci92HvCeR40,2,0.0008441305290842946,0,0,0,1,0,0,0,0
abqMLqHwqpo,1,0.0744597112183404,0,0,0,0,0,1,0,0
57yCeKge8LI,0,0.0,1,0,0,0,0,0,0,0
8A3jiM2FNR8,2,0.1731552514911535,0,0,0,0,0,0,1,0
NAN1kt4SG9E,3,0.06708877480696174,0,0,0,1,0,0,0,0
-BRSus9eU10,9,0.0037761194400976845,0,0,1,0,0,0,0,0
PlI3gjkcPz0,1,0.12121723585671854,0,0,0,0,1,0,0,0
111rmlKjx1Q,1,0.015835997858924505,0,0,0,1,0,0,0,0
W8sGTh7ZpoY,4,0.052891531714077344,0,0,0,0,1,0,0,0
Ei3IuH8IZYI,1,0.0007213086445517547,0,0,0,0,1,0,0,0
GpMP6Nh3FvU,0,0.0,0,0,0,0,1,0,0,0
mbsmsi7l3r4,1,0.04403567508694929,0,0,0,1,0,0,0,0
qJVhGXSZO9Y,3,0.1021384685479461,1,0,0,0,0,0,0,0
ZWHg5V0JliE,3,0.0019301908644183642,0,0,0,0,0,0,1,0
pKmM1N0MoC4,0,0.0,0,0,0,0,0,1,0,0
YiM9oosSvNg,1,0.01601803357557401,0,0,0,0,1,0,0,0
TZt6GDXP2OQ,1,0.08565940936878177,1,0,0,0,0,0,0,0
Zs0qpASAtCA,1,0.013556899420939064,0,0,1,0,0,0,0,0
At0advb9_fA,1,0.04455656710991965,0,0,0,1,0,0,0,0
48sCx-wBs34,0,0.0,0,0,0,1,0,0,0,0
l0DoQYGZt8M,0,0.0,0,0,0,0,0,0,1,0
jW55cViXu6s,0,0.0,0,0,0,0,1,0,0,0
vXBfwgwT1nQ,3,0.007874364340556592,0,0,0,0,0,0,1,0
1ci3l7pnfdk,0,0.0,0,0,0,0,0,0,1,0
Cw7g8ixbomU,2,0.06536794392324534,0,0,0,0,1,0,0,0
9na8UBoncy4,1,0.162416988870781,0,0,0,0,0,0,1,0
ToQ8PWYnu04,0,0.0,1,0,0,0,0,0,0,0
M5v1nXiUaOI,2,0.06357707617593406,0,0,0,0,1,0,0,0
uqfw79PTwTw,2,0.17245745985467237,0,0,0,1,0,0,0,0
QJ4YYocbBwA,0,0.0,0,0,1,0,0,0,0,0
BQw3v31s-Y8,1,0.16994844022808442,0,0,0,1,0,0,0,0
zL3UHF5SlEU,1,0.19708819579352774,0,0,0,0,0,0,1,0
IcXI5yzip-s,1,0.0004600197801381809,0,0,0,0,1,0,0,0
xoKwbbnlxi0,2,0.0102750921626931,0,0,0,0,0,0,1,0
pTn6Ewhb27k,0,0.0,0,0,0,1,0,0,0,0
tqqiZdqBNI0,2,0.20992124237984627,0,0,0,0,1,0,0,0
2JyUD79ky8s,0,0.0,0,0,1,0,0,0,0,0
Q_F9CxSmGOM,0,0.0,0,0,0,0,1,0,0,0
cqidD7kVnxY,1,0.0012464782102809598,0,0,1,0,0,0,0,0
Tr1FHd_n2_0,1,0.1302392100376245,0,0,0,0,1,0,0,0
iEiiu75dRvs,1,0.04112895835128862,0,0,0,0,0,0,1,0
TvfaGnMNDo0,0,0.0,0,0,0,0,0,0,1,0
U5EDORs8Jkk,1,0.10905106801212242,0,0,0,1,0,0,0,0
Vyau3VUVVtI,0,0.0,0,0,0,0,1,0,0,0
