Id,num_faces,largest_face_area_ratio,dominant_emotion
uqfw79PTwTw,2,0.17245756841868418,happy
QJ4YYocbBwA,0,0.0,fear
BQw3v31s-Y8,1,0.16994842371167881,happy
zL3UHF5SlEU,1,0.19708816894378994,neutral
IcXI5yzip-s,0,0.0,sad
xoKwbbnlxi0,2,0.010275094967698047,neutral
pTn6Ewhb27k,0,0.0,happy
tqqiZdqBNI0,2,0.20992120510501877,sad
2JyUD79ky8s,0,0.0,fear
Q_F9CxSmGOM,0,0.0,sad
cqidD7kVnxY,1,0.0012464792247434769,fear
Tr1FHd_n2_0,1,0.13023926631147334,sad
iEiiu75dRvs,1,0.0411289308085654,neutral
TvfaGnMNDo0,0,0.0,neutral
U5EDORs8Jkk,1,0.10905101652873175,happy
Vyau3VUVVtI,0,0.0,sad
LqfJJ60JcKo,0,0.0,happy
bf7q8lWEd-o,0,0.0,fear
9tbxDgcv74c,0,0.0,happy
2fAv4kWLp8w,2,0.0014437264082107504,angry
V_Kr9OSfDeU,0,0.0,happy
3kUUgQ0AjZc,1,0.0005766045734263672,fear
RY_rbooeMcI,0,0.0,angry
kYB8IZa5AuE,0,0.0,neutral
eQyriT0j36g,0,0.0,neutral
yIfrEMhtu2o,1,0.007280905239644603,neutral
uw-VK2URZZQ,3,0.12556219322680134,happy
If2rE7Sagyw,2,0.02485505812987564,sad
XfkzEBmx9nc,2,0.05322113050660846,fear
L6EwZWWRA-U,1,0.04840265700897564,fear
NCPNTsKBZS0,0,0.0,angry
ugwwFmp4bIA,0,0.0,angry
fNcJuPIZ2WE,0,0.0,sad
tafGL02EUOA,0,0.0,happy
gwqEgvSkT_c,0,0.0,sad
pl20NdwAs3k,0,0.0,angry
t2X3wlvoShg,0,0.0,sad
MnZIOk90TAY,0,0.0,
q1UytQTIECk,2,0.02165109220636623,angry
nrB3HqVbB3o,0,0.0,neutral
dojhP_1W5tA,2,0.10339371620805196,angry
r9cLluDKIhk,7,0.06487566311100737,happy
vNaEBbFbvcY,0,0.0,fear
O9gg0pz7rlc,1,0.07014914566431495,sad
QynNpzqYt0Y,3,0.24554251750738837,sad
wZsaXxtfuRg,0,0.0,neutral
Qh9KBwqGxTI,1,0.013284213445375725,sad
rsXQInxxzBU,1,0.06392817519728043,sad
vvXRcwcIJh4,2,0.37334058223128774,happy
HeQX2HjkcNo,0,0.0,fear
Qxn2b2LW6bQ,1,0.16843758083056198,sad
PI4EszMsYy4,2,0.031308649690128934,surprise
GBUJ5O7zvKA,0,0.0,happy
bTrV5v7GLcQ,4,0.010789203735948832,neutral
exqELqiqSmM,1,0.0007189885342409575,angry
TJM-Qo0VZbs,2,0.10199837058684554,neutral
0xPwHR8_D2w,1,0.05485809641650475,angry
NvaoIoULjrM,1,0.007612098225699242,happy
8GNInLhL2zA,1,0.09047650036788683,happy
scIizw2asro,1,0.19801015390946608,happy
eS_rEzKdzBA,1,0.15434830143137837,neutral
maYuTnci4ys,0,0.0,happy
wplX6t4S7p4,0,0.0,happy
GViBkwbyd0Q,1,0.03774025787011447,neutral
C07Dfg18Oi4,0,0.0,fear
W1Vs8fU6JqQ,0,0.0,
iRngp25a8wM,2,0.02600693749255394,sad
iN8zmmCRqUA,4,0.03448685384238868,sad
0yqC4BYZWnM,1,0.06731944660553078,neutral
0w4OTD4L0GQ,1,0.00701019441029833,fear
Cr_-xnWnEbk,5,0.002070374301789949,fear
XKH5Gd92k74,3,0.018143482966280922,angry
Y8RigxxiilI,0,0.0,neutral
5HInaJxFxWs,2,0.0821804972818245,neutral
wgzmxJPting,3,0.001766326699408738,sad
4oqfodY2Lz0,0,0.0,fear
_fbCcWyYthQ,0,0.0,
ZLuxpDxhHYA,1,0.010373804902737144,sad
GE2W93FBdo8,0,0.0,sad
15V0gUXUPko,1,0.05900092934556495,fear
Y54dfdonqgM,4,0.04815435450149784,happy
KDiEIqD4MJ8,0,0.0,
ulCdoCfw-bY,0,0.0,sad
L90DibXzunI,0,0.0,neutral
s8ccbEhZYTc,0,0.0,
wYALykLb5oY,1,0.035888174694111714,neutral
8ye7Vh-_b50,0,0.0,sad
2HbqRMhLmxE,3,0.030369442308943916,sad
ZRuSS0iiFyo,6,0.0645366143529039,sad
Bhos_P4a-JQ,2,0.06765929501913585,fear
2HBmrx__Ock,1,0.1497675933725092,surprise
ty4PhRWt1hU,3,0.006085700599226887,happy
PcS4rEE8dIU,3,0.038480844528141156,sad
CaNDeyYP98A,0,0.0,sad
lBMAdwBLYgs,1,0.00994207478169604,sad
oTZ84U-K_5k,0,0.0,fear
3aQRO29ZzbE,0,0.0,happy
DMu9Bna2PDk,1,0.010729575727026108,happy
ohwbklm3w_E,0,0.0,neutral
EgI_KAkSyCw,1,0.07099241328974586,neutral
lRt56Y9JMEg,0,0.0,happy
JWdTvyy6-mU,0,0.0,neutral
iXwfBJYCTc4,1,0.0016493878808101828,fear
ox7siCZnp9o,0,0.0,
8Vj9avZxuwI,0,0.0,sad
-qv7k2_lc0M,1,0.2043036139823481,fear
LHx63zUMLpM,2,0.06251738727971518,sad
rA1Kjvxu28w,1,0.03377768818614843,happy
bqgVB6Vl-lI,2,0.2506001040687372,angry
S_doxRtYd8o,1,0.06035724697334849,happy
s36hrId0rOo,0,0.0,surprise
HnE60IVm51E,0,0.0,sad
jItnCGRsMjw,0,0.0,happy
IkWxMG-JDk4,1,0.14900163332234398,sad
G_ZxvxtUwus,0,0.0,happy
1Q4MKOW8FZk,1,0.15239108924869976,fear
6oY8HIWBS-Y,0,0.0,fear
AeZ6a1A0-ow,4,0.0737704510723102,angry
CkGVMWK10qU,0,0.0,neutral
KZHiIVMIbF4,3,0.07947990546436105,sad
YycAzdtUIko,0,0.0,neutral
iLIAMt0wXzQ,1,0.03154168608937451,fear
O5BJVO3PDeQ,3,0.18588246847820805,neutral
ciW3cGluA10,1,0.2707393900894829,fear
ziUMJB3id8I,0,0.0,sad
lz7UgBP-m7w,3,0.1964005417355717,surprise
cPouwOKMS2s,1,0.1351524657396332,fear
qWAagS_MANg,4,0.0013546589258011308,neutral
JNvpcGV1frQ,4,0.08823835197943784,happy
Za6WWHSWAM4,2,0.0011232687929805252,sad
3aZuj_SDqDo,2,0.11507184601398876,happy
eHSvv8eSsvc,2,0.04216255629957004,angry
s6dMWzZKjTs,2,0.04563316928719158,surprise
YXy3emGbxHg,0,0.0,neutral
sZs4NDC4yrI,2,0.05899848437713141,happy
tiQevGDPgRY,0,0.0,
_RKYQdUUttc,0,0.0,fear
hLrFyjGZ9NU,0,0.0,neutral
iiADhChRriM,0,0.0,neutral
KoihlAl7ugQ,1,0.1341319783364573,neutral
vac6mJE8rqo,1,0.0011245791320309056,happy
YfBVm1hh5cM,1,0.14375955524511685,neutral
LILMhg2Vvy4,0,0.0,
IKyaNyYS5Is,0,0.0,fear
6wsFjjhZPJI,3,0.00895246118836389,neutral
ipJb4mB5bMA,1,0.17716284483162043,surprise
tV8OhAc3Zyc,2,0.1878200926614577,sad
My4RA5I0FKs,1,0.009855703919626346,happy
_M_Yhlh2PTo,0,0.0,sad
8eq2vGEEbB4,0,0.0,fear
I_1FPzRtLMA,0,0.0,fear
YQDDm9HLkV4,3,0.014658536101374516,neutral
lC5lsemxaJo,2,0.017967490896593923,fear
m-Ob3aq-wrg,1,0.16881176760791453,sad
h-StyszRCzc,0,0.0,neutral
XNYlEq46giM,1,0.04718132068053415,fear
HkPatmQFLXU,3,0.005204570195338521,happy
fEMxFSjmo5Q,2,0.029348912684955496,neutral
RyLXLFaspj0,1,0.021265826494434602,fear
9NKG9lR34dM,1,0.02209941566500927,angry
tl-Kmo2UTHE,0,0.0,sad
p1PgNbgWSyY,0,0.0,fear
5WL8Omm7b-4,2,0.03310723435707132,happy
XDniN3k5aQ8,0,0.0,
b1reY72ktEc,1,0.026042685068821358,fear
1Za8BtLgKv8,4,0.029063818108347225,happy
PmJbLFAHoe4,0,0.0,neutral
fuB6-qNwk7k,0,0.0,angry
yGPfKkjDIts,4,0.0011180027015183845,angry
8HEfIJlcFbs,1,0.0029728531908929452,neutral
_CXdl9H28uE,2,0.005522896588566558,fear
6B22Uy7SBe4,2,0.08679718241890845,sad
wNo7qoLRtkQ,1,0.0801488266020614,happy
w4xm9NHNUf8,1,0.8972379298639246,neutral
qju9ULFiW8E,2,0.0014526754215943229,neutral
3kJPxsELVAk,2,0.028743753700739994,neutral
hQAHSlTtcmY,1,0.03859609323847811,happy
GvzKAnzWTrw,0,0.0,fear
jzYEmIycjtQ,1,0.1566093595376151,sad
geUg4U7ru4Y,0,0.0,
RS7gyZJg5nc,0,0.0,sad
gAkwW2tuIqE,0,0.0,neutral
hxv1-twWRGk,2,0.13188107199548743,neutral
QqLgmequ7Bk,2,0.05183598786406947,happy
CLUWDLKAF1M,1,0.09173979013079285,sad
tYRS0aXaBC8,1,0.17317499401977987,neutral
26EivpCPHnQ,0,0.0,happy
yXWw0_UfSFg,1,0.08606648239239595,sad
nbE8B7zggUg,1,0.03311988207632061,happy
TUJWx7vo44c,2,0.020300412459061286,fear
SzkHeDPTLOg,1,0.2274003395141411,sad
uQJ7Map2qwM,4,0.12900808521852347,happy
fVDOB9mby_w,2,0.03390363325035853,neutral
UsOcXG2v3EE,1,0.01973596665100874,fear
yS3k_Inm45Q,2,0.006539084095887423,sad
TVfIr_uM5zk,0,0.0,sad
M400lV0GNV4,4,0.036789553131440646,fear
FPs_lU01KoI,1,0.05982478643173181,sad
n30DARxk9A4,0,0.0,happy
-xfra2_tVF8,1,0.22591958734646242,neutral
Xtu2WXehZe4,1,0.00036291750204024237,neutral
c6N-zitUQ3M,1,0.06205604493080652,fear
uHYmvUA0Y9c,4,0.03862106784118724,neutral
8qRZcXIODNU,0,0.0,surprise
zqllxbPWKNI,0,0.0,happy
PmV631kroUU,0,0.0,
cIR72bmWEEk,1,0.2217596413804247,neutral
Xo232kyTsO0,1,0.1639667322841592,fear
ZH7V2tU3iFc,2,0.0010471324356855246,sad
JeUFrZtKkn8,1,0.1221970255921542,happy
NICir0cWsEY,6,0.15212208713491893,neutral
bqNzbkIHYF8,0,0.0,happy
2GZrPR5Ajrs,2,0.32211686785561244,sad
2ea1FrrEJD0,1,0.1531513342091537,sad
lBYC4_Lccjw,3,0.006566433863093455,happy
3WQHDUYk310,1,0.12619232338606606,sad
9gxC3mhjCEU,6,0.018755539213517396,happy
7iPyz6Yqwl4,2,0.046425713403093344,angry
Pctzq_pT2MU,0,0.0,neutral
s86-Z-CbaHA,0,0.0,sad
A9tlDIhpMHo,1,0.0017317058250733276,neutral
HBMmK1c44sE,1,0.15821925854529278,surprise
T3sAYuOsqbA,0,0.0,
t9R7xx0joOU,0,0.0,fear
DrUVMdkb4_k,2,0.0020365109049978653,happy
Gb8LNB9Zka4,3,0.021521564308787145,angry
cJONS7sqi0o,1,0.5150774840053267,sad
2zE-J1rK1NQ,0,0.0,fear
mfT-UZCA6Tg,1,0.12881004917997263,sad
TPLnnSHSeLE,2,0.03543718165255238,neutral
dje7uhyW23o,1,0.20410987120855478,happy
8A7woRoVwyM,1,0.019728821390608574,angry
mTztlpAcips,2,0.03222871431006903,sad
kqQ0e0twSgY,0,0.0,
cNsUbtV001E,0,0.0,fear
uxRf7KS3abo,1,0.08449327077081155,neutral
K8gV05nS7mc,0,0.0,sad
ORmUUhh6O-8,1,0.0017539097234475776,neutral
BgVJDd5vHfw,2,0.14348198574452858,neutral
j5v8D-alAKE,1,0.010964180763088128,surprise
O-kn9GVOzWc,0,0.0,sad
uHt01D6rOLI,1,0.1653235210414035,angry
-gZLTLmZBGM,2,0.0010542486893568063,angry
_dSp_f0f9gE,6,0.03889599549416971,neutral
oZcKT37EsMs,1,0.05241842895862242,happy
_lYV47k3Rvw,0,0.0,
_J60fQr0GWo,4,0.07059757613717238,fear
iXbvS1CrqdA,1,0.05330220804008453,angry
ObQhpDQzfXE,0,0.0,fear
jsAWnYewsMA,1,0.0006225103749380247,neutral
Ie_m_eBevUI,1,0.05279850943629046,sad
cykdSb7xqI4,0,0.0,sad
7KqvkMQVQhc,2,0.12107747023187079,happy
7uiv6tKtoKg,0,0.0,fear
Oy8zSYKkczI,1,0.03276619284662451,angry
m62NJftSS7g,0,0.0,sad
ha4tRQwKIUg,3,0.007420675493631279,happy
eMBFhaxUIew,1,0.10041339316767335,sad
wev_gievHmo,0,0.0,neutral
sCfmM71NOTo,2,0.057662178128295334,surprise
WrOzwoMKzH4,0,0.0,happy
nMUuSGRIk9I,1,0.19632439480983369,happy
p0-ldVORQyE,2,0.016913233597923762,happy
Wutl6OP04jU,1,0.08847484815460323,happy
afwSzAkjT6c,0,0.0,
a_TSR_v07m0,1,0.008974673094348368,fear
66sNL_2ztnw,0,0.0,sad
3tvegr-O9vI,1,0.07568556957163512,sad
O25-_eEdxaw,6,0.04546448663666448,sad
jFpKVbsI8BY,0,0.0,angry
RRkaWQJFkBQ,1,0.06677785180031037,angry
Pqn-OH-jbrs,0,0.0,sad
uBEaG6n0XDs,0,0.0,neutral
pP44EPBMb8A,0,0.0,angry
sV6uuMAnJUE,4,0.05267038771478762,angry
DDo4CA13LbY,1,0.0440809120047561,sad
UYsaY4ga4aU,0,0.0,sad
uxhgrd6HWVw,3,0.06803442015480515,happy
U7Q3sKNuZA0,1,0.007938483094121693,fear
ck-89phIXsM,1,0.0008452643282817007,sad
l6T63M1XiDg,2,0.01035190337072183,fear
oRAuXHcAUiA,1,0.039597512098020565,happy
_fTC_Ud_k3U,1,0.009159476191990607,neutral
A1LUHmUcIsk,0,0.0,sad
4hCy4-G37jA,0,0.0,sad
ndsaoMFz9J4,0,0.0,happy
Px3T14RczDY,0,0.0,neutral
CdDXbvBFXLY,2,0.12144813196445385,happy
L8tdPYqFV7E,1,0.2033491419022539,sad
AAfwfZr0EHo,1,0.015004409604198372,neutral
FBbBWifAdCg,3,0.03625747434085952,sad
dAaw3g08K4A,0,0.0,happy
UCA1A5GqCdQ,1,0.05784143394434068,sad
It0o9T5OS_4,1,0.053085754650333,neutral
DRQnZzW_FZU,1,0.027598203321216108,fear
8BfMivMDOBI,0,0.0,
nxnZe6wjjqU,1,0.009244058813087071,neutral
XKehq1w4vfg,1,0.013108949867839531,fear
cH66LWWluVE,0,0.0,fear
W9ME-WBlkeM,0,0.0,fear
48DD3kekP3E,1,0.04166322288242024,sad
ztRSm_SJP58,1,0.12015247659763241,fear
j1LDtdlDyjU,1,0.21892848632971437,fear
o1zIgTwENPg,6,0.043413268821382696,angry
WLex9xvQycQ,1,0.08607196006296666,fear
hC4eog5cY9Q,2,0.01829059857812322,neutral
